Size class,µm],p3 [%],SPHT3,Symm3,b/l3,PDN
0,30,0.01,0.781,0.893,0.674,9727416
30,31.6,0.01,0.791,0.924,0.653,5980
31.6,33.4,0,0.815,0.897,0.722,5144
33.4,35.2,0.01,0.698,0.898,0.499,10457
35.2,37.1,0.02,0.657,0.893,0.437,12982
37.1,39.1,0.02,0.566,0.898,0.354,10282
39.1,41.2,0.02,0.696,0.912,0.525,12313
41.2,43.5,0.04,0.667,0.923,0.446,16047
43.5,45.8,0.06,0.713,0.9,0.522,22697
45.8,48.3,0.12,0.703,0.904,0.497,36393
48.3,51,0.24,0.717,0.916,0.486,67254
51,53.7,0.37,0.73,0.909,0.513,93945
53.7,56.7,0.61,0.752,0.911,0.54,134510
56.7,59.7,0.87,0.763,0.905,0.563,183274
59.7,63,1.42,0.778,0.91,0.596,285572
63,66.4,2.12,0.789,0.908,0.611,407304
66.4,70,3.03,0.791,0.908,0.626,508186
70,73.8,3.7,0.831,0.907,0.652,392555
73.8,77.9,4.58,0.83,0.904,0.66,429141
77.9,82.1,5.27,0.866,0.904,0.666,668245
82.1,86.6,5.78,0.842,0.902,0.683,383837
86.6,91.3,6.09,0.875,0.902,0.687,585725
91.3,96.2,6.11,0.849,0.905,0.691,295495
96.2,101.5,6.6,0.894,0.903,0.704,464325
101.5,107,7.4,0.901,0.896,0.705,231821
107,112.8,7.11,0.916,0.902,0.714,366240
112.8,119,6.73,0.903,0.895,0.718,204135
119,125.4,5.98,0.91,0.9,0.724,172438
125.4,132.3,5.39,0.903,0.896,0.725,138647
132.3,139.5,4.59,0.904,0.895,0.734,97931
139.5,147,3.79,0.899,0.893,0.736,66140
147,155,3.09,0.899,0.892,0.742,48453
155,163.5,2.44,0.894,0.89,0.742,33609
163.5,172.4,1.86,0.888,0.886,0.742,20518
172.4,181.7,1.38,0.883,0.883,0.746,13023
181.7,191.6,1.03,0.878,0.881,0.75,8655
191.6,202.1,0.74,0.868,0.874,0.75,5164
202.1,213.1,0.5,0.867,0.874,0.758,3054
213.1,224.7,0.33,0.849,0.865,0.749,1719
224.7,236.9,0.21,0.853,0.867,0.756,933
236.9,249.8,0.14,0.815,0.849,0.748,537
249.8,263.4,0.08,0.815,0.849,0.756,265
263.4,277.7,0.04,0.815,0.854,0.771,134
277.7,292.8,0.03,0.784,0.833,0.754,64
292.8,308.7,0.02,0.736,0.802,0.734,35
308.7,325.5,0.01,0.767,0.834,0.743,24
325.5,343.2,0.01,0.744,0.789,0.756,5
343.2,361.9,0,0.614,0.684,0.778,2
361.9,381.6,0,0.726,0.826,0.763,2
381.6,402.4,0,0.345,0.639,0.666,1
