Size class,[µm],p3 [%],SPHT3,Symm3,b/l3,PDN
0,30,0.11,0.814,0.909,0.675,3455476
30,31.6,0.02,0.79,0.886,0.656,21046
31.6,33.4,0.02,0.778,0.87,0.649,28626
33.4,35.2,0.03,0.756,0.859,0.651,25580
35.2,37.1,0.04,0.766,0.895,0.662,31374
37.1,39.1,0.04,0.72,0.872,0.595,27153
39.1,41.2,0.05,0.731,0.862,0.585,26012
41.2,43.5,0.06,0.712,0.853,0.598,31372
43.5,45.8,0.07,0.756,0.893,0.625,26938
45.8,48.3,0.09,0.756,0.891,0.626,33456
48.3,51,0.11,0.753,0.89,0.599,30561
51,53.7,0.14,0.756,0.906,0.593,33732
53.7,56.7,0.2,0.72,0.892,0.537,41863
56.7,59.7,0.26,0.75,0.893,0.579,48682
59.7,63,0.38,0.777,0.896,0.613,70197
63,66.4,0.5,0.781,0.902,0.635,81995
66.4,70,0.59,0.77,0.893,0.617,85825
70,73.8,0.62,0.813,0.895,0.639,51034
73.8,77.9,0.8,0.821,0.897,0.671,63474
77.9,82.1,0.82,0.851,0.897,0.666,75636
82.1,86.6,0.84,0.83,0.897,0.668,39019
86.6,91.3,1.02,0.843,0.899,0.656,64534
91.3,96.2,1.18,0.822,0.897,0.666,41590
96.2,101.5,1.42,0.869,0.898,0.657,64358
101.5,107,1.97,0.877,0.895,0.656,37323
107,112.8,2.41,0.888,0.9,0.654,79441
112.8,119,3.02,0.875,0.896,0.65,59628
119,125.4,3.62,0.89,0.902,0.664,64627
125.4,132.3,4.45,0.881,0.899,0.659,79878
132.3,139.5,5.19,0.886,0.899,0.674,75033
139.5,147,5.83,0.888,0.9,0.681,69837
147,155,6.44,0.895,0.902,0.694,71042
155,163.5,6.84,0.894,0.901,0.699,67388
163.5,172.4,6.92,0.893,0.9,0.703,55783
172.4,181.7,6.78,0.894,0.9,0.712,46029
181.7,191.6,6.58,0.896,0.9,0.719,39727
191.6,202.1,6.14,0.895,0.898,0.726,30989
202.1,213.1,5.44,0.897,0.898,0.734,24051
213.1,224.7,4.69,0.896,0.897,0.736,17827
224.7,236.9,3.93,0.898,0.897,0.746,12926
236.9,249.8,3.2,0.896,0.895,0.75,8840
249.8,263.4,2.48,0.898,0.894,0.758,5947
263.4,277.7,1.78,0.898,0.895,0.764,3746
277.7,292.8,1.21,0.893,0.89,0.769,2116
292.8,308.7,0.77,0.895,0.892,0.777,1176
308.7,325.5,0.42,0.892,0.889,0.776,528
325.5,343.2,0.24,0.873,0.879,0.772,255
343.2,361.9,0.13,0.882,0.881,0.779,131
361.9,381.6,0.06,0.858,0.872,0.765,43
381.6,402.4,0.02,0.725,0.801,0.686,11
402.4,424.3,0.01,0.861,0.859,0.808,6
424.3,447.3,0.01,0.771,0.814,0.813,2
447.3,471.7,0,,,,0
471.7,497.4,0,0.772,0.797,0.865,2
497.4,524.4,0,,,,0
524.4,553,0,0.553,0.658,0.773,1
553,583,0.01,0.897,0.877,0.796,1
