Size class,[μm],p3 [%],SPHT3,Symm3,b/l3,PDN
0,30,0.62,0.699,0.83,0.627,30032924
30,31.6,0.08,0.614,0.808,0.604,41772
31.6,33.4,0.1,0.608,0.809,0.592,37180
33.4,35.2,0.11,0.638,0.796,0.626,40347
35.2,37.1,0.12,0.644,0.793,0.633,44179
37.1,39.1,0.12,0.583,0.784,0.562,30418
39.1,41.2,0.13,0.588,0.793,0.584,31748
41.2,43.5,0.2,0.605,0.823,0.593,43296
43.5,45.8,0.2,0.587,0.823,0.568,25388
45.8,48.3,0.2,0.566,0.805,0.581,25250
48.3,51,0.29,0.476,0.714,0.565,36745
51,53.7,0.31,0.626,0.821,0.665,29469
53.7,56.7,0.41,0.591,0.792,0.636,32379
56.7,59.7,0.49,0.661,0.836,0.624,40533
59.7,63,0.59,0.569,0.799,0.589,42801
63,66.4,0.63,0.537,0.788,0.566,36120
66.4,70,0.53,0.611,0.783,0.629,31014
70,73.8,0.67,0.698,0.85,0.654,26734
73.8,77.9,0.92,0.641,0.822,0.65,31510
77.9,82.1,0.74,0.76,0.845,0.685,26042
82.1,86.6,0.83,0.686,0.819,0.679,20380
86.6,91.3,1.32,0.642,0.819,0.595,30379
91.3,96.2,1.42,0.655,0.826,0.632,24611
96.2,101.5,1.45,0.742,0.83,0.638,27083
101.5,107,1.58,0.796,0.844,0.669,19408
107,112.8,1.73,0.813,0.852,0.671,22276
112.8,119,1.92,0.784,0.84,0.666,18615
119,125.4,2.04,0.796,0.846,0.669,18409
125.4,132.3,2.26,0.782,0.84,0.669,16924
132.3,139.5,2.4,0.769,0.836,0.666,15176
139.5,147,2.51,0.769,0.837,0.668,13738
147,155,2.67,0.761,0.834,0.663,12480
155,163.5,2.81,0.75,0.83,0.661,10891
163.5,172.4,2.91,0.737,0.825,0.652,9479
172.4,181.7,3,0.736,0.826,0.656,8538
181.7,191.6,3.15,0.733,0.825,0.661,7709
191.6,202.1,3.28,0.723,0.821,0.659,6850
202.1,213.1,3.33,0.714,0.818,0.66,6012
213.1,224.7,3.36,0.71,0.816,0.659,5077
224.7,236.9,3.32,0.707,0.817,0.665,4407
236.9,249.8,3.2,0.701,0.813,0.669,3615
249.8,263.4,3.06,0.699,0.814,0.67,2935
263.4,277.7,2.95,0.693,0.814,0.671,2393
277.7,292.8,2.84,0.675,0.81,0.666,2030
292.8,308.7,2.67,0.673,0.806,0.667,1590
308.7,325.5,2.44,0.667,0.809,0.668,1273
325.5,343.2,2.21,0.659,0.809,0.675,988
343.2,361.9,2.08,0.653,0.805,0.673,787
361.9,381.6,2.03,0.652,0.811,0.67,653
381.6,402.4,1.86,0.631,0.805,0.673,513
402.4,424.3,1.72,0.621,0.808,0.668,405
424.3,447.3,1.58,0.609,0.813,0.668,318
447.3,471.7,1.46,0.637,0.817,0.681,260
471.7,497.4,1.34,0.608,0.812,0.677,202
497.4,524.4,1.15,0.589,0.813,0.658,139
524.4,553,1.22,0.58,0.817,0.658,126
553,583,1.17,0.59,0.818,0.629,96
583,614.8,0.83,0.579,0.814,0.648,60
614.8,648.2,0.85,0.623,0.841,0.675,56
648.2,683.5,1.1,0.546,0.828,0.657,61
683.5,720.7,0.95,0.513,0.822,0.647,45
720.7,759.9,1.02,0.581,0.832,0.614,41
759.9,801.2,0.89,0.597,0.834,0.669,30
801.2,844.8,0.85,0.606,0.848,0.662,26
844.8,890.8,0.64,0.599,0.852,0.709,18
890.8,939.3,0.9,0.509,0.805,0.648,20
939.3,990.4,0.54,0.553,0.831,0.7,9
990.4,1044.3,0.63,0.521,0.798,0.67,11
1044.3,1101.1,0.19,0.386,0.744,0.655,3
1101.1,1161,0.22,0.599,0.853,0.745,2
1161,1224.2,0.43,0.629,0.84,0.804,5
1224.2,1290.8,0.09,0.564,0.9,0.712,1
1290.8,1361,0.14,0.519,0.887,0.788,1
