Size class,[µm],p3 [%],SPHT3,Symm3,b/l3,PDN
0,30,0.04,0.812,0.903,0.685,3367985
30,31.6,0.01,0.816,0.908,0.77,7361
31.6,33.4,0.01,0.775,0.895,0.695,7243
33.4,35.2,0,0.791,0.883,0.69,8504
35.2,37.1,0.02,0.779,0.896,0.68,14315
37.1,39.1,0.01,0.832,0.916,0.716,8229
39.1,41.2,0,0.801,0.877,0.686,4175
41.2,43.5,0.01,0.755,0.884,0.606,4723
43.5,45.8,0.01,0.775,0.89,0.621,2373
45.8,48.3,0,0.732,0.863,0.686,1770
48.3,51,0.01,0.745,0.911,0.762,3960
51,53.7,0.01,0.772,0.904,0.648,1645
53.7,56.7,0.02,0.737,0.918,0.68,5972
56.7,59.7,0.03,0.788,0.881,0.672,6753
59.7,63,0.02,0.724,0.899,0.74,2714
63,66.4,0.02,0.758,0.917,0.715,2280
66.4,70,0.04,0.791,0.874,0.671,8959
70,73.8,0.04,0.773,0.877,0.615,3717
73.8,77.9,0.05,0.824,0.903,0.725,4322
77.9,82.1,0.06,0.869,0.91,0.651,4531
82.1,86.6,0.09,0.849,0.916,0.7,5961
86.6,91.3,0.09,0.89,0.908,0.67,6037
91.3,96.2,0.11,0.852,0.898,0.692,4350
96.2,101.5,0.2,0.865,0.91,0.672,8926
101.5,107,0.28,0.897,0.903,0.683,6193
107,112.8,0.42,0.908,0.908,0.678,14377
112.8,119,0.63,0.903,0.905,0.681,15202
119,125.4,0.91,0.912,0.911,0.694,18362
125.4,132.3,1.32,0.908,0.909,0.691,27937
132.3,139.5,1.8,0.912,0.91,0.704,32173
139.5,147,2.36,0.912,0.911,0.712,33290
147,155,3.04,0.918,0.913,0.72,39413
155,163.5,3.77,0.916,0.912,0.722,45080
163.5,172.4,4.49,0.917,0.912,0.725,43059
172.4,181.7,5.24,0.917,0.913,0.73,42164
181.7,191.6,6.09,0.918,0.913,0.735,44194
191.6,202.1,6.82,0.919,0.913,0.74,40451
202.1,213.1,7.25,0.921,0.914,0.747,38173
213.1,224.7,7.54,0.919,0.912,0.748,34495
224.7,236.9,7.51,0.922,0.913,0.758,29722
236.9,249.8,7.23,0.921,0.912,0.762,22804
249.8,263.4,6.67,0.921,0.912,0.764,19541
263.4,277.7,5.82,0.922,0.912,0.77,14051
277.7,292.8,4.89,0.921,0.91,0.776,10032
292.8,308.7,4.03,0.921,0.911,0.774,7204
308.7,325.5,3.19,0.921,0.91,0.781,4841
325.5,343.2,2.47,0.92,0.909,0.782,3204
343.2,361.9,1.77,0.919,0.909,0.784,1879
361.9,381.6,1.22,0.917,0.908,0.789,1167
381.6,402.4,0.87,0.92,0.91,0.794,700
402.4,424.3,0.53,0.917,0.911,0.793,356
424.3,447.3,0.34,0.923,0.915,0.791,189
447.3,471.7,0.23,0.927,0.916,0.796,116
471.7,497.4,0.15,0.924,0.919,0.779,65
497.4,524.4,0.08,0.923,0.922,0.788,27
524.4,553,0.05,0.928,0.919,0.793,18
553,583,0.04,0.948,0.932,0.796,10
583,614.8,0.04,0.919,0.909,0.777,9
614.8,648.2,0.01,0.961,0.95,0.798,2
